Subject,Predicate,Object
Policy,triggered by,Event
Policy,implemented through,Document
Policy,silenced,Organization
Policy,prosecuted,Person
Policy,prosecuted,Person
Policy,prosecuted,Person
Policy,condemned by,Document
Policy,escalated after,Event
Policy,monitored by,Organization
Policy,enforced by,Organization
Policy,ruled against by,Document
Event,start date,Date
Event,has type,Type
Document,date adopted,Date
Document,signed by,Person
Document,maximum penalty,String
Document,enforced by,Organization
Document,condemned by,Document
Document,ruled against by,Document
Document,has type,Type
Organization,has type,Type
Organization,suspended,Date
Organization,licence revoked,Date
Person,occupation,String
Person,employer,Organization
Person,protest date,Date
Person,sentenced,String
Person,has type,Type
Document,has type,Type
Document,publisher,Organization
Document,subject,Concept
Document,date,Date
Event,date,Date
Event,location,Place
Event,perpetrator,Organization
Event,has type,Type
Organization,has type,Type
Organization,founded,Date
Organization,documented cases,String
Organization,has type,Type
Organization,jurisdiction,Place
Organization,blocked,Organization
Document,has type,Type
Document,date,Date
Document,issued by,Organization
Person,occupation,String
Person,sentenced,String
Person,sentence date,Date
Person,has type,Type
Person,occupation,String
Person,sentenced,String
Person,sentence date,Date
Person,speech location,Place
Person,has type,Type
