Entity,Subject,Predicate,Object,Standard
Alexei Gorinov,alexeiGorinov,crm:P67_refers_to,article207_3,CIDOC-CRM
Alexei Gorinov,alexeiGorinov,schema:jobTitle,Municipal deputy,Schema.org
Alexei Gorinov,alexeiGorinov,dcterms:description,7 years imprisonment,Dublin Core
Alexei Gorinov,alexeiGorinov,crm:P4_has_time-span,time:gorinov_sentenceDate,CIDOC-CRM
Alexei Gorinov,time:gorinov_sentenceDate,rdf:type,crm:E52_Time-Span,CIDOC-CRM
Alexei Gorinov,time:gorinov_sentenceDate,crm:P82_at_some_time_within,July 2022,CIDOC-CRM
Alexei Gorinov,alexeiGorinov,rdf:type,crm:E21_Person,CIDOC-CRM
Bucha massacre,buchaMassacre,crm:P16_used_specific_object,internationalCriminalCourt,CIDOC-CRM
Bucha massacre,buchaMassacre,crm:P4_has_time-span,time:bucha_date,CIDOC-CRM
Bucha massacre,time:bucha_date,rdf:type,crm:E52_Time-Span,CIDOC-CRM
Bucha massacre,time:bucha_date,crm:P82_at_some_time_within,March–April 2022,CIDOC-CRM
Bucha massacre,buchaMassacre,crm:P7_took_place_at,"Bucha, Ukraine",CIDOC-CRM
Bucha massacre,buchaMassacre,crm:P14_carried_out_by,russianArmedForces,CIDOC-CRM
Bucha massacre,buchaMassacre,rdf:type,crm:E5_Event,CIDOC-CRM
ECHR ruling,echrRuling,dcterms:identifier,11884/22 and 161 others,Dublin Core
ECHR ruling,echrRuling,rdf:type,bibo:LegalDocument,BIBO
ECHR ruling,echrRuling,crm:P4_has_time-span,time:echr_date,CIDOC-CRM
ECHR ruling,time:echr_date,rdf:type,crm:E52_Time-Span,CIDOC-CRM
ECHR ruling,time:echr_date,crm:P82_at_some_time_within,11 February 2025,CIDOC-CRM
ECHR ruling,echrRuling,dcterms:publisher,europeanCourtOfHumanRights,Dublin Core
End Censorship on Voices Against the War,endCensorship,dcterms:identifier,EUR 46/5345/2022,Dublin Core
End Censorship on Voices Against the War,endCensorship,rdf:type,bibo:Report,BIBO
End Censorship on Voices Against the War,endCensorship,dcterms:publisher,amnestyInternational,Dublin Core
End Censorship on Voices Against the War,endCensorship,crm:P129_is_about,Freedom of expression,CIDOC-CRM
End Censorship on Voices Against the War,endCensorship,crm:P4_has_time-span,time:endCensorship_date,CIDOC-CRM
End Censorship on Voices Against the War,time:endCensorship_date,rdf:type,crm:E52_Time-Span,CIDOC-CRM
End Censorship on Voices Against the War,time:endCensorship_date,crm:P82_at_some_time_within,14 March 2022,CIDOC-CRM
Federal Law No. 32-FZ,federalLaw32FZ,crm:P14_carried_out_by,stateDuma,CIDOC-CRM
Federal Law No. 32-FZ,federalLaw32FZ,crm:P4_has_time-span,time:federalLaw_dateAdopted,CIDOC-CRM
Federal Law No. 32-FZ,time:federalLaw_dateAdopted,rdf:type,crm:E52_Time-Span,CIDOC-CRM
Federal Law No. 32-FZ,time:federalLaw_dateAdopted,crm:P82_at_some_time_within,4 March 2022,CIDOC-CRM
Federal Law No. 32-FZ,federalLaw32FZ,crm:P14_carried_out_by,vladimirPutin,CIDOC-CRM
Federal Law No. 32-FZ,federalLaw32FZ,dcterms:description,15 years imprisonment,Dublin Core
Federal Law No. 32-FZ,federalLaw32FZ,crm:P14_carried_out_by,roskomnadzor,CIDOC-CRM
Federal Law No. 32-FZ,federalLaw32FZ,crm:P67_refers_to,endCensorship,CIDOC-CRM
Federal Law No. 32-FZ,federalLaw32FZ,crm:P67_refers_to,echrRuling,CIDOC-CRM
Federal Law No. 32-FZ,federalLaw32FZ,rdf:type,aio:Law,Agreements Ontology
